jumlah cluster: 3

cluster 1 
jumlah anggota: 20 
------------------
75, A, Y, Y, Y, I, C, K, Y, Y, T, WL, T, WM, Y, R
6, B, Y, Y, Y, L, T, G, Y, Y, Y, WL, Y, WL, Y, R
92, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
104, B, Y, Y, Y, I, T, G, Y, Y, Y, WL, Y, WL, Y, S
95, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, Q
48, B, Y, Y, Y, I, T, K, Y, Y, Y, WM, Y, WL, Y, S
45, C, Y, Y, Y, L, C, G, Y, Y, Y, WM, Y, WL, Y, R
13, B, T, Y, T, I, T, K, Y, Y, Y, WL, Y, WL, Y, Q
26, C, Y, Y, Y, L, C, K, Y, Y, T, WL, Y, WM, Y, Q
21, A, Y, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, Y, Q
80, C, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, S
69, A, Y, Y, Y, L, T, K, Y, Y, Y, WL, Y, WL, Y, R
60, B, Y, Y, Y, L, T, K, Y, Y, Y, WM, Y, WL, Y, P
28, B, T, Y, T, I, T, G, Y, Y, Y, WM, Y, WL, Y, S
18, A, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, Q
23, B, Y, Y, Y, I, T, G, Y, Y, Y, WL, Y, WM, T, Q
34, B, Y, Y, Y, L, C, K, Y, T, T, WL, T, WL, Y, Q
58, B, Y, T, Y, L, T, K, T, T, Y, WL, Y, WL, Y, R
65, B, Y, Y, Y, I, C, G, Y, Y, Y, WL, Y, WL, Y, R
77, B, Y, Y, Y, L, C, G, Y, T, Y, WL, Y, WL, Y, Q
67, B, Y, Y, Y, I, T, K, Y, Y, Y, WL, Y, WL, T, S
42, B, Y, Y, Y, I, T, G, T, Y, T, WM, T, WL, Y, R
78, B, Y, Y, Y, L, T, K, Y, Y, Y, WL, T, WL, Y, S
2, B, T, Y, Y, L, T, K, T, Y, Y, WL, Y, WL, Y, R
17, A, Y, Y, T, L, C, G, Y, Y, Y, WL, Y, WL, Y, Q
94, A, Y, Y, Y, L, T, K, T, Y, T, WL, T, WL, Y, Q
1, B, Y, Y, Y, L, T, G, T, T, Y, WL, Y, WL, Y, S
46, B, Y, Y, Y, L, T, K, Y, Y, Y, WL, Y, WL, Y, P
12, A, Y, Y, Y, I, T, G, Y, Y, Y, WM, T, WM, Y, R
centroid: ['B', 'Y', 'Y', 'Y', 'L', 'T', 'G', 'Y', 'Y', 'Y', 'WL', 'Y', 'WL', 'Y', 'R']
------------------

cluster 3 
jumlah anggota: 1 
------------------
84, B, Y, T, Y, I, C, G, T, T, T, WL, T, WL, Y, S
centroid: ['B', 'Y', 'T', 'Y', 'I', 'C', 'G', 'T', 'T', 'T', 'WL', 'T', 'WL', 'Y', 'S']
------------------

